id,hominus,mindhr,htype,species_id,literature_id,id-2,iupac,formula,trivial,casrn,inchikey,subcat_id
246,1.0E-2,3500,L,36,603,36,chlorine dioxide,ClO2,,10049-04-4,OSVXSBDYLRYLIG-UHFFFAOYSA-N,5
247,1.0E-2,3500,L,36,602,36,chlorine dioxide,ClO2,,10049-04-4,OSVXSBDYLRYLIG-UHFFFAOYSA-N,5
248,1.0E-2,3300,L,36,744,36,chlorine dioxide,ClO2,,10049-04-4,OSVXSBDYLRYLIG-UHFFFAOYSA-N,5
256,8.6E-1,6000,L,40,603,40,chloramine,NH2Cl,chloramide,10599-90-3,QDHHCQZDFGDHMP-UHFFFAOYSA-N,5
257,8.6E-1,6000,L,40,602,40,chloramine,NH2Cl,chloramide,10599-90-3,QDHHCQZDFGDHMP-UHFFFAOYSA-N,5
259,2.9E-1,4200,L,41,603,41,dichloramine,NHCl2,chlorimide,3400-09-7,JSYGRUBHOCKMGQ-UHFFFAOYSA-N,5
260,2.9E-1,4200,L,41,602,41,dichloramine,NHCl2,chlorimide,3400-09-7,JSYGRUBHOCKMGQ-UHFFFAOYSA-N,5
262,9.9E-4,4100,L,42,603,42,nitrogen trichloride,NCl3,,10025-85-1,QEHKBHWEUPXBCW-UHFFFAOYSA-N,5
263,9.9E-4,4100,L,42,602,42,nitrogen trichloride,NCl3,,10025-85-1,QEHKBHWEUPXBCW-UHFFFAOYSA-N,5
265,7.2E-3,4400,L,43,603,43,bromine (molecular),Br2,,7726-95-6,GDTBXPJZTBHREO-UHFFFAOYSA-N,6
266,7.2E-3,4400,L,43,602,43,bromine (molecular),Br2,,7726-95-6,GDTBXPJZTBHREO-UHFFFAOYSA-N,6
295,9.7E-3,5600,L,49,603,49,bromine chloride,BrCl,,13863-41-7,CODNYICXDISAEA-UHFFFAOYSA-N,6
296,9.7E-3,5600,L,49,602,49,bromine chloride,BrCl,,13863-41-7,CODNYICXDISAEA-UHFFFAOYSA-N,6
318,1.0E-3,2100,L,56,603,56,hydrogen sulfide,H2S,,7783-06-4,RWSOTUBLDIXVET-UHFFFAOYSA-N,8
