id,hominus,mindhr,htype,species_id,literature_id,id-2,iupac,formula,trivial,casrn,inchikey,subcat_id
12022,4.1E-2,7500,L,2820,447,2820,"2,2',4,5,5'-pentachlorobiphenyl",C12H5Cl5,PCB-101,37680-73-2,LAHWLEDBADHJGA-UHFFFAOYSA-N,40
12068,3.0E-2,6800,L,2824,447,2824,"2,3,3',4,4'-pentachlorobiphenyl",C12H5Cl5,PCB-105,32598-14-4,WIDHRBRBACOVOY-UHFFFAOYSA-N,40
12069,7.2E-2,7500,L,2824,447,2824,"2,3,3',4,4'-pentachlorobiphenyl",C12H5Cl5,PCB-105,32598-14-4,WIDHRBRBACOVOY-UHFFFAOYSA-N,40
12159,3.1E-2,6800,L,2837,447,2837,"2,3',4,4',5-pentachlorobiphenyl",C12H5Cl5,PCB-118,31508-00-6,IUTPYMGCWINGEY-UHFFFAOYSA-N,40
12160,6.9E-2,7600,L,2837,447,2837,"2,3',4,4',5-pentachlorobiphenyl",C12H5Cl5,PCB-118,31508-00-6,IUTPYMGCWINGEY-UHFFFAOYSA-N,40
12334,2.5E-2,7100,L,2857,447,2857,"2,2',3,4,4',5'-hexachlorobiphenyl",C12H4Cl6,PCB-138,35065-28-2,RPUMZMSNLZHIGZ-UHFFFAOYSA-N,40
12335,3.3E-2,7700,L,2857,447,2857,"2,2',3,4,4',5'-hexachlorobiphenyl",C12H4Cl6,PCB-138,35065-28-2,RPUMZMSNLZHIGZ-UHFFFAOYSA-N,40
12454,4.0E-2,7100,L,2872,447,2872,"2,2',4,4',5,5'-hexachlorobiphenyl",C12H4Cl6,PCB-153,35065-27-1,MVWHGTYKUMDIHL-UHFFFAOYSA-N,40
12455,5.1E-2,7900,L,2872,447,2872,"2,2',4,4',5,5'-hexachlorobiphenyl",C12H4Cl6,PCB-153,35065-27-1,MVWHGTYKUMDIHL-UHFFFAOYSA-N,40
12481,1.3E-2,7100,L,2874,447,2874,"2,2',4,4',6,6'-hexachlorobiphenyl",C12H4Cl6,PCB-155,33979-03-2,ICOAEPDGFWLUTI-UHFFFAOYSA-N,40
12482,1.1E-2,7600,L,2874,447,2874,"2,2',4,4',6,6'-hexachlorobiphenyl",C12H4Cl6,PCB-155,33979-03-2,ICOAEPDGFWLUTI-UHFFFAOYSA-N,40
12680,1.7E-1,7300,L,2899,447,2899,"2,2',3,4,4',5,5'-heptachlorobiphenyl",C12H3Cl7,PCB-180,35065-29-3,WBHQEUPUMONIKF-UHFFFAOYSA-N,40
12681,1.2E-1,7900,L,2899,447,2899,"2,2',3,4,4',5,5'-heptachlorobiphenyl",C12H3Cl7,PCB-180,35065-29-3,WBHQEUPUMONIKF-UHFFFAOYSA-N,40
12767,1.5E-1,7500,L,2913,447,2913,"2,2',3,3',4,4',5,5'-octachlorobiphenyl",C12H2Cl8,PCB-194,35694-08-7,DTMRKGRREZAYAP-UHFFFAOYSA-N,40
12768,2.3E-1,8200,L,2913,447,2913,"2,2',3,3',4,4',5,5'-octachlorobiphenyl",C12H2Cl8,PCB-194,35694-08-7,DTMRKGRREZAYAP-UHFFFAOYSA-N,40
12907,5.8E-1,5400,L,2947,603,2947,chloro-2-propanone,CH2ClCOCH3,chloroacetone,78-95-5,BULLHNJGPPOUOX-UHFFFAOYSA-N,41
12912,1.1E-3,9700,L,2948,603,2948,chloroethanoic acid,CH2ClCOOH,chloroacetic acid,79-11-8,FOCAUTSVDIKZOP-UHFFFAOYSA-N,41
12917,1.2E-3,8000,L,2949,603,2949,dichloroethanoic acid,CHCl2COOH,dichloroacetic acid,79-43-6,JXTHNDFMNIQAHM-UHFFFAOYSA-N,41
12922,7.3E-2,8700,L,2950,603,2950,trichloroethanoic acid,CCl3COOH,trichloroacetic acid,76-03-9,YNJBWRMUSHSURL-UHFFFAOYSA-N,41
14482,6.2E-2,15000,L,3588,247,3588,metolachlor,C15H22ClNO2,,51218-45-2,WVQBLGZPHOPPFO-UHFFFAOYSA-N,45
14630,1.5E-3,2600,L,3667,744,3667,chlorofluoromethane,CH2FCl,R31,593-70-4,XWCDCDSDNJVCLO-UHFFFAOYSA-N,46
14640,3.4E-4,3400,L,3668,603,3668,chlorodifluoromethane,CHF2Cl,R22,75-45-6,VOPWNXZWBYDODV-UHFFFAOYSA-N,46
14641,3.4E-4,3400,L,3668,744,3668,chlorodifluoromethane,CHF2Cl,R22,75-45-6,VOPWNXZWBYDODV-UHFFFAOYSA-N,46
14666,9.9E-6,1700,L,3670,603,3670,chlorotrifluoromethane,CF3Cl,R13,75-72-9,AFYPFACVUDMOHA-UHFFFAOYSA-N,46
14667,9.3E-6,1600,L,3670,744,3670,chlorotrifluoromethane,CF3Cl,R13,75-72-9,AFYPFACVUDMOHA-UHFFFAOYSA-N,46
14682,3.0E-5,3400,L,3671,729,3671,dichlorodifluoromethane,CF2Cl2,R12,75-71-8,PXBRQCKWGAHEHS-UHFFFAOYSA-N,46
14683,3.0E-5,3500,L,3671,603,3671,dichlorodifluoromethane,CF2Cl2,R12,75-71-8,PXBRQCKWGAHEHS-UHFFFAOYSA-N,46
14684,3.0E-5,3500,L,3671,602,3671,dichlorodifluoromethane,CF2Cl2,R12,75-71-8,PXBRQCKWGAHEHS-UHFFFAOYSA-N,46
14685,3.1E-5,3500,L,3671,675,3671,dichlorodifluoromethane,CF2Cl2,R12,75-71-8,PXBRQCKWGAHEHS-UHFFFAOYSA-N,46
14686,2.1E-5,1800,L,3671,744,3671,dichlorodifluoromethane,CF2Cl2,R12,75-71-8,PXBRQCKWGAHEHS-UHFFFAOYSA-N,46
14710,1.1E-4,3400,L,3672,729,3672,trichlorofluoromethane,CFCl3,R11,75-69-4,CYRMSUTZVYGINF-UHFFFAOYSA-N,46
14711,1.1E-4,3300,L,3672,603,3672,trichlorofluoromethane,CFCl3,R11,75-69-4,CYRMSUTZVYGINF-UHFFFAOYSA-N,46
14712,1.1E-4,3300,L,3672,602,3672,trichlorofluoromethane,CFCl3,R11,75-69-4,CYRMSUTZVYGINF-UHFFFAOYSA-N,46
14713,1.1E-4,3300,L,3672,675,3672,trichlorofluoromethane,CFCl3,R11,75-69-4,CYRMSUTZVYGINF-UHFFFAOYSA-N,46
14714,1.0E-4,3100,L,3672,674,3672,trichlorofluoromethane,CFCl3,R11,75-69-4,CYRMSUTZVYGINF-UHFFFAOYSA-N,46
14787,3.4E-6,2800,L,3679,744,3679,chloropentafluoroethane,C2F5Cl,R115,76-15-3,RFCAUADVODFSLZ-UHFFFAOYSA-N,46
14871,2.5E-2,10000,L,3700,603,3700,chlorodifluoroethanoic acid,CF2ClCOOH,chlorodifluoroacetic acid,76-04-0,OAWAZQITIZDJRB-UHFFFAOYSA-N,46
14877,2.9E-3,4100,L,3703,247,3703,"2,2-dichloro-1,1-difluoro-1-methoxyethane",C3H4Cl2F2O,methoxyflurane,76-38-0,RFKMCNOHBTXSMU-UHFFFAOYSA-N,46
14977,1.7E-3,3100,L,3753,603,3753,bromomethane,CH3Br,methyl bromide,74-83-9,GZUXJHMPEANEGY-UHFFFAOYSA-N,47
14978,1.7E-3,3100,L,3753,602,3753,bromomethane,CH3Br,methyl bromide,74-83-9,GZUXJHMPEANEGY-UHFFFAOYSA-N,47
14979,1.7E-3,3100,L,3753,675,3753,bromomethane,CH3Br,methyl bromide,74-83-9,GZUXJHMPEANEGY-UHFFFAOYSA-N,47
14980,1.6E-3,3100,L,3753,744,3753,bromomethane,CH3Br,methyl bromide,74-83-9,GZUXJHMPEANEGY-UHFFFAOYSA-N,47
15021,1.7E-2,5200,L,3755,603,3755,tribromomethane,CHBr3,bromoform,75-25-2,DIKBFYAXUHHXCS-UHFFFAOYSA-N,47
15022,1.7E-2,5200,L,3755,602,3755,tribromomethane,CHBr3,bromoform,75-25-2,DIKBFYAXUHHXCS-UHFFFAOYSA-N,47
15023,1.7E-2,5200,L,3755,675,3755,tribromomethane,CHBr3,bromoform,75-25-2,DIKBFYAXUHHXCS-UHFFFAOYSA-N,47
15024,1.7E-2,5200,L,3755,674,3755,tribromomethane,CHBr3,bromoform,75-25-2,DIKBFYAXUHHXCS-UHFFFAOYSA-N,47
15209,5.0E-3,4200,L,3789,247,3789,bromobenzene,C6H5Br,,108-86-1,QARVLSVVCXYDNA-UHFFFAOYSA-N,47
15337,1.5E-3,9300,L,3832,603,3832,bromoethanoic acid,CH2BrCOOH,bromoacetic acid,79-08-3,KDPAWGWELVVRCH-UHFFFAOYSA-N,47
15341,2.3E-3,8900,L,3833,603,3833,dibromoethanoic acid,CHBr2COOH,dibromoacetic acid,631-64-1,SIEILFNCEFEENQ-UHFFFAOYSA-N,47
15345,3.0E-3,9000,L,3834,603,3834,tribromoethanoic acid,CBr3COOH,tribromoacetic acid,75-96-7,QIONYIKHPASLHO-UHFFFAOYSA-N,47
15670,4.0E-3,5200,L,3943,603,3943,bromodichloromethane,CHCl2Br,,75-27-4,FMWLUWPQPKEARP-UHFFFAOYSA-N,49
15671,4.0E-3,5200,L,3943,602,3943,bromodichloromethane,CHCl2Br,,75-27-4,FMWLUWPQPKEARP-UHFFFAOYSA-N,49
15672,4.8E-3,3700,L,3943,247,3943,bromodichloromethane,CHCl2Br,,75-27-4,FMWLUWPQPKEARP-UHFFFAOYSA-N,49
15673,4.0E-3,5200,L,3943,675,3943,bromodichloromethane,CHCl2Br,,75-27-4,FMWLUWPQPKEARP-UHFFFAOYSA-N,49
15674,4.0E-3,5200,L,3943,674,3943,bromodichloromethane,CHCl2Br,,75-27-4,FMWLUWPQPKEARP-UHFFFAOYSA-N,49
15696,8.6E-3,5500,L,3945,603,3945,dibromochloromethane,CHClBr2,,124-48-1,GATVIKZLVQHOMN-UHFFFAOYSA-N,49
15697,8.6E-3,5500,L,3945,602,3945,dibromochloromethane,CHClBr2,,124-48-1,GATVIKZLVQHOMN-UHFFFAOYSA-N,49
15698,8.7E-3,4400,L,3945,247,3945,dibromochloromethane,CHClBr2,,124-48-1,GATVIKZLVQHOMN-UHFFFAOYSA-N,49
15699,8.6E-3,5500,L,3945,675,3945,dibromochloromethane,CHClBr2,,124-48-1,GATVIKZLVQHOMN-UHFFFAOYSA-N,49
15700,8.5E-3,5500,L,3945,674,3945,dibromochloromethane,CHClBr2,,124-48-1,GATVIKZLVQHOMN-UHFFFAOYSA-N,49
15809,5.6E-4,4700,L,3996,247,3996,"1-bromo-1-chloro-2,2,2-trifluoroethane",C2HBrClF3,halothane,151-67-7,BCQZXOMGPXTTIC-UHFFFAOYSA-N,49
15822,2.0E-3,3600,L,3999,603,3999,iodomethane,CH3I,methyl iodide,74-88-4,INQOMBQAUSQDDS-UHFFFAOYSA-N,50
15823,2.0E-3,3600,L,3999,602,3999,iodomethane,CH3I,methyl iodide,74-88-4,INQOMBQAUSQDDS-UHFFFAOYSA-N,50
15824,2.0E-3,3600,L,3999,675,3999,iodomethane,CH3I,methyl iodide,74-88-4,INQOMBQAUSQDDS-UHFFFAOYSA-N,50
15858,1.5E-3,4200,L,4002,247,4002,iodoethane,C2H5I,,75-03-6,HVTICUPFWKNHNG-UHFFFAOYSA-N,50
15966,3.8E-3,3400,L,4031,603,4031,methanethiol,CH3SH,methyl mercaptan,74-93-1,LSDPWZHWYPCBBB-UHFFFAOYSA-N,51
15967,3.8E-3,3400,L,4031,602,4031,methanethiol,CH3SH,methyl mercaptan,74-93-1,LSDPWZHWYPCBBB-UHFFFAOYSA-N,51
15968,2.8E-3,3100,L,4031,675,4031,methanethiol,CH3SH,methyl mercaptan,74-93-1,LSDPWZHWYPCBBB-UHFFFAOYSA-N,51
15981,2.8E-3,3700,L,4032,603,4032,ethanethiol,C2H5SH,ethyl mercaptan,75-08-1,DNJIEGIFACGWOD-UHFFFAOYSA-N,51
15982,2.8E-3,3700,L,4032,602,4032,ethanethiol,C2H5SH,ethyl mercaptan,75-08-1,DNJIEGIFACGWOD-UHFFFAOYSA-N,51
16034,5.6E-3,3500,L,4051,729,4051,dimethyl sulfide,CH3SCH3,DMS,75-18-3,QMMFVYPAHWMCMS-UHFFFAOYSA-N,51
16035,5.3E-3,3500,L,4051,603,4051,dimethyl sulfide,CH3SCH3,DMS,75-18-3,QMMFVYPAHWMCMS-UHFFFAOYSA-N,51
16036,5.3E-3,3500,L,4051,602,4051,dimethyl sulfide,CH3SCH3,DMS,75-18-3,QMMFVYPAHWMCMS-UHFFFAOYSA-N,51
16037,5.2E-3,3600,L,4051,247,4051,dimethyl sulfide,CH3SCH3,DMS,75-18-3,QMMFVYPAHWMCMS-UHFFFAOYSA-N,51
16038,5.3E-3,3500,L,4051,675,4051,dimethyl sulfide,CH3SCH3,DMS,75-18-3,QMMFVYPAHWMCMS-UHFFFAOYSA-N,51
16115,6.1E-4,3900,L,4060,729,4060,carbon disulfide,CS2,,75-15-0,QGJOPFRUJISHPQ-UHFFFAOYSA-N,51
16116,6.1E-4,4300,L,4060,603,4060,carbon disulfide,CS2,,75-15-0,QGJOPFRUJISHPQ-UHFFFAOYSA-N,51
16117,6.1E-4,4300,L,4060,602,4060,carbon disulfide,CS2,,75-15-0,QGJOPFRUJISHPQ-UHFFFAOYSA-N,51
16178,2.1E-4,3300,L,4078,729,4078,carbon oxide sulfide,OCS,carbonyl sulfide,463-58-1,JJWKPURADFRFRB-UHFFFAOYSA-N,51
16179,2.0E-4,3500,L,4078,603,4078,carbon oxide sulfide,OCS,carbonyl sulfide,463-58-1,JJWKPURADFRFRB-UHFFFAOYSA-N,51
16180,2.0E-4,3500,L,4078,602,4078,carbon oxide sulfide,OCS,carbonyl sulfide,463-58-1,JJWKPURADFRFRB-UHFFFAOYSA-N,51
16181,2.1E-4,3000,L,4078,744,4078,carbon oxide sulfide,OCS,carbonyl sulfide,463-58-1,JJWKPURADFRFRB-UHFFFAOYSA-N,51
